State,visit_sample_size_pm,visit_sample_size,visit_percent,visit_SE,visit_CI,no_visit_sample_size,no_visit_percent,no_visit_SE,no_visit_CI
Arizona,243,145,55.4,6.1,(43.4 – 67.4),98,44.6,6.1,(32.6 – 56.6)
California,260,128,44.5,4.1,(36.5 – 52.5),132,55.5,4.1,(47.5 – 63.5)
Connecticut,269,174,55.3,5.3,(44.9 – 65.7),95,44.7,5.3,(34.3 – 55.1)
Florida,468,266,53.3,4.4,(44.7 – 61.9),202,46.7,4.4,(38.1 – 55.3)
Hawaii,193,99,47,4.8,(37.6 – 56.4),94,53,4.8,(43.6 – 62.4)
Illinois,159,105,66.1,4.3,(57.7 – 74.5),54,33.9,4.3,(25.5 – 42.3)
Indiana,223,136,54,4.5,(45.2 – 62.8),87,46,4.5,(37.2 – 54.8)
Iowa,239,157,58.7,4.4,(50.1 – 67.3),82,41.3,4.4,(32.7 – 49.9)
Kansas,284,148,50.7,4.3,(42.3 – 59.1),136,49.3,4.3,(40.9 – 57.7)
Kentucky,289,187,58.6,4.9,(49.0 – 68.2),102,41.4,4.9,(31.8 – 51.0)
Maine,477,255,54,4.2,(45.8 – 62.2),222,46,4.2,(37.8 – 54.2)
Massachusetts,250,150,58.9,4.2,(50.7 – 67.1),100,41.1,4.2,(32.9 – 49.3)
Michigan,484,275,51,3.4,(44.3 – 57.7),209,49,3.4,(42.3 – 55.7)
Minnesota,468,282,58.9,2.8,(53.4 – 64.4),186,41.1,2.8,(35.6 – 46.6)
Missouri,207,128,62,4.5,(53.2 – 70.8),79,38,4.5,(29.2 – 46.8)
Montana,224,118,48.3,4.3,(39.9 – 56.7),106,51.7,4.3,(43.3 – 60.1)
Nebraska,421,229,48,3.9,(40.4 – 55.6),192,52,3.9,(44.4 – 59.6)
New Hampshire,285,161,52.6,4.1,(44.6 – 60.6),124,47.4,4.1,(39.4 – 55.4)
New Mexico,181,110,59.6,6.1,(47.6 – 71.6),71,40.4,6.1,(28.4 – 52.4)
Ohio,396,248,55.5,4.2,(47.3 – 63.7),148,44.5,4.2,(36.3 – 52.7)
Oregon,267,140,50.4,3.9,(42.8 – 58.0),127,49.6,3.9,(42.0 – 57.2)
Pennsylvania,223,130,57.9,4.4,(49.3 – 66.5),93,42.1,4.4,(33.5 – 50.7)
Rhode Island,180,128,70.5,5.8,(59.1 – 81.9),52,29.5,5.8,(18.1 – 40.9)
Texas,264,155,55.3,5.6,(44.3 – 66.3),109,44.7,5.6,(33.7 – 55.7)
Utah,399,228,55.1,3.4,(48.4 – 61.8),171,44.9,3.4,(38.2 – 51.6)
Vermont,243,136,56.3,5.2,(46.1 – 66.5),107,43.7,5.2,(33.5 – 53.9)
Wisconsin,210,134,59.1,4.9,(49.5 – 68.7),76,40.9,4.9,(31.3 – 50.5)
